Player,Model I,Model II,2021-22 Actual Score
Rudolfs Balcers,0.1121,0.1101,0.1065
Adam Gaudette,0.1228,0.1198,0.1274
Mason Appleton,0.1104,0.1097,0.1024
William Carrier,0.1320,0.1305,0.1663
Kevin Rooney,0.0884,0.0866,0.0887
Jesse Puljujarvi,0.1295,0.1271,0.1390
Trevor Moore,0.1119,0.1139,0.1503
Victor Rask,0.0712,0.0711,0.0977
Teddy Blueger,0.0779,0.0773,0.0986
Troy Terry,0.0878,0.0864,0.1371
Sam Steel,0.0753,0.0745,0.0805
Max Comtois,0.1142,0.1148,0.0981
Corey Perry,0.0869,0.0847,0.1306
Erik Haula,0.0975,0.0962,0.1193
Christian Dvorak,0.0996,0.0983,0.0946
Drake Batherson,0.1314,0.1319,0.1323
Brett Ritchie,0.0943,0.0966,0.1393
Juho Lammikko,0.0947,0.0936,0.0789
Carl Grundstrom,0.1134,0.1140,0.1427
Dillon Dube,0.1162,0.1180,0.1385
Nicolas Deslauriers,0.1040,0.1064,0.1064
Sammy Blais,0.0850,0.0848,0.0873
Max Jones,0.1205,0.1206,0.1140
Anders Bjork,0.0716,0.0713,0.0741
Denis Gurianov,0.1433,0.1438,0.1272
Jordan Kyrou,0.1278,0.1286,0.1467
Nathan Bastian,0.0990,0.0996,0.1110
Michael McLeod,0.0961,0.0968,0.0819
Victor Olofsson,0.1118,0.1113,0.1232
Martin Necas,0.1134,0.1142,0.1175
Isac Lundestrom,0.0911,0.0921,0.0716
Zack MacEwen,0.1029,0.1032,0.1151
Kailer Yamamoto,0.0857,0.0865,0.0780
Jaret Anderson-Dolan,0.0800,0.0808,0.0553
Eeli Tolvanen,0.0816,0.0815,0.1375
Alexandre Texier,0.1073,0.1089,0.1136
Filip Zadina,0.1084,0.1096,0.1334
Colin Blackwell,0.0831,0.0834,0.1025
Curtis Lazar,0.0800,0.0796,0.1188
Nicolas Aube-Kubel,0.1035,0.1024,0.1208
Nicolas Roy,0.0870,0.0875,0.1101
Kevin Stenlund,0.1059,0.1058,0.1328
Ryan Lomberg,0.1371,0.1366,0.1503
Trent Frederic,0.0955,0.0961,0.1456
Janne Kuokkanen,0.0806,0.0810,0.0848
Dylan Gambrell,0.0711,0.0710,0.0730
Eric Robinson,0.1152,0.1161,0.1090
Nico Sturm,0.1275,0.1273,0.1187
Blake Lizotte,0.0845,0.0842,0.1128
Dominik Kubalik,0.1560,0.1547,0.1251
Nick Suzuki,0.1130,0.1167,0.0985
Ilya Mikheyev,0.1374,0.1353,0.1733
Joel Farabee,0.1355,0.1360,0.1030
Sam Lafferty,0.1053,0.1067,0.1048
Pierre Engvall,0.1259,0.1247,0.1436
Carter Verhaeghe,0.1328,0.1327,0.1386
Jack Hughes,0.1375,0.1419,0.1689
Kaapo Kakko,0.1246,0.1253,0.0897
Matthew Highmore,0.0907,0.0908,0.1023
Yakov Trenin,0.1220,0.1225,0.1240
Gabriel Vilardi,0.0770,0.0777,0.0995
Morgan Geekie,0.0730,0.0733,0.0939
Jake Evans,0.1031,0.1033,0.1181
Mason Marchment,0.1063,0.1065,0.1598
Eetu Luostarinen,0.0661,0.0665,0.0863
Keegan Kolesar,0.1107,0.1113,0.0961
Brandon Hagel,0.1336,0.1345,0.0986
Jason Robertson,0.1593,0.1609,0.1541
Josh Norris,0.0862,0.0869,0.1067
Oliver Wahlstrom,0.1556,0.1561,0.1557
Kirill Kaprizov,0.1437,0.1441,0.1703
Yegor Sharangovich,0.1412,0.1418,0.1320
Nils Hoglander,0.1430,0.1446,0.1562
Alex Wennberg,0.0776,0.0777,0.0613
Pius Suter,0.1228,0.1229,0.1210
Alexis Lafrenière,0.1004,0.1023,0.0963
Tim Stützle,0.1265,0.1285,0.1072
Owen Tippett,0.1606,0.1619,0.1422
John Leonard,0.1216,0.1222,0.1653
Dylan Cozens,0.1114,0.1134,0.1258
Philipp Kurashev,0.0884,0.0896,0.1046
Mikhail Maltsev,0.1459,0.1462,0.1610
Tanner Kero,0.0898,0.0894,0.0626
Steven Lorentz,0.0845,0.0848,0.1146
